,id,created_phase,cleaned_feature
449,91,1,"room, light, applianc, turn, go, sleephibern, mode, , minut, movement, room"
450,91,1,"dishwash, emit, beep, sound, text, phone, full, dish, clean"
451,91,1,"oven, stove, turn, unless, certain, sequenc, button, code, enter"
452,91,1,"adjust, weather, condit, outsid, insidehom"
453,91,1,"floor, bathroom, warm, get, shower"
454,91,1,"temperatur, bathroom, adjust"
455,91,1,"room, humidifi, work, heat, cool"
456,91,1,"light, adjust"
457,91,1,"window, adjust, sunlight, lack, sunlight"
458,91,1,"smoke, detector, alert, fire, smoke, carbon, monoxid, human, voic, tell, danger"
459,92,1,"make, sound, warn, door, lock, night"
460,92,1,"turn, applianc, use"
461,92,1,"make, sound, packag, left, outsid, door"
462,92,1,"notifi, use, much, energi"
463,92,1,"open, blind, morn"
464,92,1,"whole, sound, individu, control, room"
465,92,1,"warn, mold, air, fridg, bathroom"
466,92,1,"notifi, carpet, need, clean"
467,92,1,"switch, channel, TV, text, break, news, great, import"
468,92,1,"warn, potenti, damag, floor, wall, carpet"
469,93,1,"broadcast, video, phone"
470,93,1,"alert, pet, left, premis, tracker, attach, collar"
471,93,1,"alert, phone, lock, door, window, open"
472,93,1,"featur, light, remot, control, via, phone"
473,93,1,"featur, vacuum, termin, built, corner, certain, corner"
474,93,1,"mail, receptacl, sensor, alert, mail, deliv"
475,93,1,"featur, door, lock, remot, lock, unlock, via, passcod, phone"
476,93,1,"motion, sensor, program, trigger, musiclightingaudio, remind, enter, certain, room"
477,93,1,"control, allow, trigger, applianc, kitchen, bedroom"
478,93,1,"featur, usag, statist, calcul, electr, water, output, accord, room"
479,102,1,"refriger, tell, food, expir, make, list, item, need"
480,102,1,"central, air, condit, unit, order, new, air, filter, air, qualiti, diminish"
481,102,1,"door, commun, phone, unlock, next, lock, insid"
482,102,1,"doorbel, notifi, rang, commun, postal, worker, sign, packag, phone, also, give, instruct, put, packag, perhap, even, unlock, door, temporarili"
483,102,1,"chair, know, sit, turn, tventertain, base, individu, prefer, turn, paus, media, stand"
484,102,1,"plate, food, determin, type, food, ive, place, aggreg, nutrit, inform, display, tabl, eat"
485,102,1,"alarm, clock, know, name, talk, convinc, wake, remind, appoint, day, go, late, mayb, could, talk, smartphon, lazi, go, everi, morn"
486,102,1,"dryer, determin, cloth, dri, turn, send, notif, phone"
487,102,1,"outlet, electron, program, individu, complet, cut, power, electron, theyr, use"
488,102,1,"wash, machin, order, detergentssuppli, need"
489,102,1,"closet, hanger, tell, last, time, wore, cloth, that, hang, rack"
490,102,1,"faucet, sink, monitor, water, pollut, alert, new, threat, found"
491,102,1,"floor, furnitur, tell, small, object, rest, somewher, shouldnt, like, couldnt, find, key"
492,113,2,"recommend, new, tv, show"
493,113,2,"know, fall, asleep"
494,113,2,"know, kid, leav"
495,113,2,"know, children, feel, well"
496,113,2,"know, intrud"
497,113,2,"plant, need, water"
498,113,2,"ga, leak"
499,113,2,"know, need, exercis"
500,113,2,"go, sleep"
501,113,2,"know, children"
502,106,2,"automat, door"
503,106,2,"automat, light"
504,106,2,"smart, surveil, system"
505,106,2,"moistur, humid, sensor"
506,106,2,"autom, cleaner"
507,106,2,"control, applic"
508,106,2,"automat, music"
509,106,2,"alarm, clock"
510,106,2,"autom, cookerscrock, pot"
511,106,2,"smart, bed"
512,116,2,"let, know, best, way, maxim, live, space"
513,116,2,"let, know, money, save, energi"
514,116,2,"keep, track, food, consumpt"
515,116,2,"keep, track, scheldul"
516,116,2,"keep, track, kid, school, grade"
517,116,2,"remind, activ, kid, need, go"
518,116,2,"keep, entertain"
519,116,2,"keep, track, health"
520,116,2,"help, keep, track, respons"
521,116,2,"keep, track, pet, health"
522,108,2,"clean, catss, litter, box, soil"
523,108,2,"adjust, temperatur, depend"
524,108,2,"wash, machin, measur, adequ, amount, soap, need, water, need, wash, given, load, laundri"
525,108,2,"televis, turn, sound, voic"
526,108,2,"mailbox, lock, sens, mailman, fill, mail"
527,108,2,"want, sync, phone, danger, polic, notifi"
528,108,2,"music, player, work, conjunct, light"
529,108,2,"open, latchkey, kid, school, via, voic, command"
530,108,2,"limit, son, internet, video, game, usag"
531,108,2,"home, window, darken, respons, amount, outdoor, light"
532,109,2,"alert, drive"
533,109,2,"alert, smoke"
534,109,2,"energi, featur, tell, use, certain, amount, electr"
535,109,2,light
536,109,2,"someth, would, turn, music, sound, voic"
537,109,2,"abl, set, temperatur, shower, water"
538,109,2,"abl, start, car, insid"
539,109,2,"alert, child, get, close, oven, place, shouldnt"
540,109,2,"alert, teenag, come, night"
541,109,2,"alert, lock, door"
542,111,2,"sensor, let, know, unpleas, odor, area, come"
543,111,2,"electron, window"
544,111,2,"built, clock, tv, room"
545,111,2,"sensor, refriger, light, contain, food, start, go, bad"
